text,label
"Photosynthesis is the process by which green plants convert sunlight into food using carbon dioxide and water.",1
"The mitochondria is known as the powerhouse of the cell because it produces ATP through cellular respiration.",1
"Newton's three laws of motion describe the relationship between force, mass, and acceleration of objects.",1
"The water cycle involves evaporation, condensation, and precipitation to continuously recycle water on Earth.",1
"DNA stands for deoxyribonucleic acid and carries genetic information for the development of living organisms.",1
"The French Revolution began in 1789 and led to the end of the French monarchy and rise of democracy.",1
"Algebra is a branch of mathematics dealing with symbols and the rules for manipulating those symbols.",1
"The solar system consists of the Sun and eight planets orbiting around it held by gravitational force.",1
"The human digestive system breaks down food into nutrients that are absorbed by the small intestine.",1
"Electricity is the flow of electric charge through a conductor such as a wire, measured in amperes.",1
"The periodic table organizes all known chemical elements by atomic number, electron configuration and properties.",1
"Gravity is a fundamental force that attracts two objects with mass toward each other across space.",1
"The Renaissance was a cultural and intellectual movement in Europe between the 14th and 17th centuries.",1
"Respiration is the process by which organisms exchange gases, taking in oxygen and releasing carbon dioxide.",1
"The speed of light in a vacuum is approximately 299,792 kilometers per second, denoted as c.",1
"Cells are the basic structural and functional units of all living organisms, discovered by Robert Hooke.",1
"The atmospheric pressure at sea level is approximately 101.3 kilopascals or 1 atmosphere of pressure.",1
"Volcanoes are formed when magma from beneath the Earth's crust erupts through openings called vents.",1
"Tectonic plates are massive segments of the Earth's crust that move slowly causing earthquakes and volcanoes.",1
"The human brain contains approximately 86 billion neurons that communicate through electrical and chemical signals.",1
"Chemical bonds form when atoms share or transfer electrons to achieve a stable electron configuration.",1
"The Pythagorean theorem states that in a right triangle, a squared plus b squared equals c squared.",1
"Ecosystems are communities of living organisms interacting with their physical environment to sustain life.",1
"The Industrial Revolution began in Britain in the late 18th century transforming manufacturing and society.",1
"Osmosis is the movement of water molecules through a semipermeable membrane from low to high solute concentration.",1
"Stars are massive balls of plasma held together by gravity and powered by nuclear fusion in their cores.",1
"The immune system protects the body from pathogens using white blood cells, antibodies, and lymph nodes.",1
"Waves transfer energy through matter or space without transferring matter, classified as transverse or longitudinal.",1
"The carbon cycle describes how carbon atoms circulate through the atmosphere, oceans, and living organisms.",1
"Ancient civilizations like Egypt, Mesopotamia, and Greece laid foundations for modern science, law, and culture.",1
"Click here to subscribe! Like and share this video if you enjoyed watching our content today.",0
"Advertisement: Buy now and get 50% off! Limited time offer. Use promo code SAVE50 at checkout.",0
"Page 1 of 45. Next page. Previous page. Table of contents. Back to top. Navigation menu.",0
"Copyright 2024. All rights reserved. Terms of service. Privacy policy. Cookie settings. Contact us.",0
"Like us on Facebook! Follow us on Twitter! Subscribe to our newsletter for daily updates.",0
"This content is for premium members only. Upgrade your account to access all features today.",0
"Error 404: Page not found. Please check the URL or go back to the homepage to continue.",0
"Username: admin. Password: ****. Login failed. Please try again. Forgot password? Reset here.",0
"Share this post on social media! Tag your friends and let them know about this amazing deal!",0
"Disclaimer: The views expressed in this article are solely those of the author and not our organization.",0
"Loading... Please wait. Spinner animation. Progress bar: 45%. Estimated time remaining: 2 minutes.",0
"Related articles: Top 10 tips. Best products of 2024. You might also like. Recommended for you.",0
"Sponsored content. This article is written in partnership with XYZ Company. #ad #sponsored #partnership.",0
"Comment section: Great video! Awesome content! First! This is so helpful! Love this channel!",0
"Footer: About us. Careers. Press. Blog. API. Privacy. Terms. Help center. Contact support team.",0
"BREAKING NEWS: Celebrity spotted at airport! Click to see exclusive photos from the red carpet event.",0
"Sign up for free! No credit card required. Start your 30-day trial today. Cancel anytime you want.",0
"Menu: Home. About. Services. Portfolio. Blog. Contact. Search. Login. Register. Shopping cart items.",0
"Warning: This page uses cookies to improve your experience. Accept all cookies to continue browsing.",0
"Watch time: 5:32. Views: 1.2M. Likes: 45K. Comments: 2.1K. Shares: 890. Subscribers: 500K.",0
